Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
Data not available,,FES Support Services,(ANM) CHELMSFORD,Southend Road,,CHELMSFORD,Essex,CM2 7TD,England,574636,202173,Rayleigh,Chelmsford East Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,41.8,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,41.8,41.8,44.0,0.1,0.105,2021-02-10,2028-12-31,,,,,,,2023-10-13,0.525205235758616,51.6911473673182,"51.6911473673182, 0.525205235758616",EPN-S0000000D3057,Solar PV
Data not available,,GEMEC Limited,Kentishes Farm,,Stisted,BRAINTREE,Essex,CM77 8BX,England,579269,226163,Braintree,Braintree Local 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,6.52,,,,,,,,,,,,,No,Connected,6.52,6.52,6.863,0.0,0.0,2020-10-22,,,,,,,,,,,,,,2021-06-14,0.604553402934216,51.9051605863798,"51.9051605863798, 0.604553402934216",EPN-S0000000D3015,Solar PV
Data not available,,Infraland,(ANM) Thetford Road,,,Northwold,SUFFOLK,IP26 5LQ,England,574276,297475,Walpole,Swaffham Grid 33kV,Northwold Primary 11kV,11.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,7.5,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,7.5,,,,,,,Yes,Accepted to Connect,,,,,,,7.5,7.5,7.895,4.18,4.4,2020-12-18,,,,,,,,2023-02-14,0.568768195290609,52.5472275089894,"52.5472275089894, 0.568768195290609",EPN-S0000000H6075,Solar PV
Data not available,,RNA Energy Limited,(ANM) NORWICH ROAD,,,HALESWORTH,SUFFOLK,IP19 8QJ,England,639034,278720,Bramford,-,,132.0,Eastern Power Networks (EPN),Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,10.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,10.0,10.0,10.526,10.0,10.526,2021-01-20,2028-12-31,,,,,,,2022-12-14,1.50870581432549,52.3543895231933,"52.3543895231933, 1.50870581432549",,Storage
Data not available,,Anesco,(ANM - N/A) Red House Farm,,Woodwalton,Huntingdon,Cambs,PE28 5YL,England,521065,280761,Eaton Socon,Huntingdon Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,16.94,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,16.94,16.94,17.832,0.0,0.0,2021-02-12,2028-10-31,,,,,,,2022-12-14,-0.221544480532436,52.4114650088853,"52.4114650088853, -0.221544480532436",EPN-S0000000D4068,Solar PV
Data not available,,Chilterns Renewables Ltd,(ANM) Grounds Farm,,Hockliffe,Leighton Buzzard,BEDS,LU7 9NL,England,495040,226988,Sundon,Sundon 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,20.0,20.0,21.053,0.05,0.053,2021-02-05,,,,,,,,2023-10-13,-0.619067588975365,51.933299494041,"51.933299494041, -0.619067588975365",EPN-S0000000D8086,Solar PV
Data not available,,Anesco,(ANM) Bishopstone,,,Aylesbury Vale,Herts,HP17 8SL,England,481828,210179,Amersham,Ilmer Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,19.96,,,,,,,,,,,,,Yes,Connected,19.96,19.96,21.011,18.962,19.96,2024-07-02,,,,,,,,,,,,,,2024-10-14,-0.81516083063085,51.7843003636362,"51.7843003636362, -0.81516083063085",EPN-S0000000D8077,Solar PV
Data not available,,Anglo Renewables Limited,(ANM) Stow Road,,,Kimbolton,Cambs,PE28 0LB,England,510174,269178,Eaton Socon,Little Barford 33kV,Kimbolton Primary 11kV,11.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,6.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,6.0,6.0,6.316,0.2,0.211,2021-02-14,2028-10-31,,,,,,,2022-12-14,-0.385388781110786,52.3096729243584,"52.3096729243584, -0.385388781110786",EPN-S0000000H4049,Solar PV
Data not available,,Certus Utility Consulting,(ANM) Bushmead Road,,,St Neots,Cambs,PE19 8JD,England,515627,259211,Eaton Socon,-,,132.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,50.0,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,49.9,,,,,,,No,Accepted to Connect,,,,,,,50.0,50.0,52.632,50.0,52.632,2021-01-05,2028-10-31,,,,,,,2021-12-14,-0.308852478817715,52.2189859199937,"52.2189859199937, -0.308852478817715",,Solar PV
Data not available,,Renewable Connections Developments Ltd,MANOR ROAD/LONDON ROAD,,,Grays,ESSEX,RM20 4BA,England,559102,177642,West Thurrock,-,,33.0,Eastern Power Networks (EPN),Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,49.9,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,49.9,49.9,52.526,49.9,52.526,2021-04-06,2028-09-30,,,,,,,2023-02-14,0.289558319758423,51.475371809397,"51.475371809397, 0.289558319758423",,Storage
