hour,breach_count,curtailment_count,breach_locations,der_list,total_curtailed_kwh
2023-01-04 15:00:00+00:00,0,1,,DER11,0.1111111111111111
2023-01-04 16:00:00+00:00,4,4,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER11, DER1, DER9, DER35",10050.679692247179
2023-01-04 17:00:00+00:00,4,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-04 19:00:00+00:00,5,3,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL","DER1, DER35, DER9",4907.130034179687
2023-01-05 13:00:00+00:00,0,1,,DER11,58.111111111111114
2023-01-05 19:00:00+00:00,2,3,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER35, DER9",12182.486437907748
2023-01-05 20:00:00+00:00,15,2,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL","DER35, DER41",611.6961774359809
2023-01-05 22:00:00+00:00,17,13,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER35, DER1, DER9",11738.226216405234
2023-01-05 23:00:00+00:00,16,7,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER35, DER9, DER1",9260.336055939992
2023-01-06 00:00:00+00:00,13,6,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER9, DER1, DER35",11651.906832139757
2023-01-06 01:00:00+00:00,10,2,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",DER35,570.3419993760851
2023-01-06 07:00:00+00:00,0,1,,DER11,240.0
2023-01-06 09:00:00+00:00,0,2,,"DER37, DER36",9675.55825527615
2023-01-06 10:00:00+00:00,0,1,,DER29,520.2397148980035
2023-01-06 11:00:00+00:00,0,1,,DER36,4992.537697584364
2023-01-06 13:00:00+00:00,0,1,,DER36,79.16666666666667
2023-01-06 22:00:00+00:00,13,6,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER35, DER1, DER9",7876.348302260505
2023-01-06 23:00:00+00:00,10,3,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER35, DER9, DER1",137277.87436674332
2023-01-07 00:00:00+00:00,17,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 01:00:00+00:00,13,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 02:00:00+00:00,13,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 03:00:00+00:00,9,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 04:00:00+00:00,13,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 05:00:00+00:00,12,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 06:00:00+00:00,1,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 07:00:00+00:00,6,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-07 08:00:00+00:00,5,2,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER35",24337.441098683674
2023-01-07 09:00:00+00:00,9,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-07 10:00:00+00:00,17,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-07 11:00:00+00:00,16,3,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL","DER9, DER1, DER35",20990.682779257033
2023-01-07 12:00:00+00:00,19,2,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",DER35,241.60801249186198
2023-01-07 13:00:00+00:00,15,9,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER35, DER9, DER1",14182.500125079685
2023-01-07 14:00:00+00:00,19,2,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER35",9866.789825433096
2023-01-07 15:00:00+00:00,6,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-07 17:00:00+00:00,6,3,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER35, DER9",30444.714200105667
2023-01-07 18:00:00+00:00,11,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-07 19:00:00+00:00,22,6,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",DER35,1348.8977565511068
2023-01-07 20:00:00+00:00,13,3,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER35, DER9",9904.725138699214
2023-01-07 21:00:00+00:00,16,6,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER9, DER35",7862.159397036235
2023-01-07 22:00:00+00:00,2,1,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,DER35,40.2152483452691
2023-01-07 23:00:00+00:00,7,9,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER1, DER35, DER9",6507.8290738805135
2023-01-08 00:00:00+00:00,4,1,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,DER35,355.1176331922743
2023-01-08 01:00:00+00:00,0,1,,DER11,14.11111111111111
2023-01-08 04:00:00+00:00,15,7,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER1, DER35, DER9",11710.077509070503
2023-01-08 05:00:00+00:00,4,2,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER35, DER13",1141.0381998697917
2023-01-08 11:00:00+00:00,6,7,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL","DER9, DER35, DER1, DER4",24019.500613738168
