site_id,hour,events_count,total_hours,total_kwh
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,1,54,264.1311111111111,886645.2349221632
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,2,60,418.5622222222222,1102580.0486351924
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,3,46,414.89,2158824.9161551837
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,4,56,357.47222222222223,1781178.7044556555
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,5,58,475.92,2822319.0124985822
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,6,56,980.1511111111112,3496010.9891494326
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,7,78,548.38791,3208571.3832443748
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,8,169,1295.469838888889,7198750.29749957
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,9,304,1948.9104477777778,5694821.469761401
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,10,551,1708.5010466666668,7109714.119814986
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,11,664,1955.2570133333334,10390118.525791073
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,12,729,5086.146568888889,5577203.779879896
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,13,690,2357.0395744444445,8426532.307537604
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,14,662,1487.3401166666667,4702551.5013661925
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,15,515,3736.213217777778,16907190.405773822
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,16,442,1633.1537655555555,6277909.84673023
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,17,259,910.4759522222222,3824860.067114058
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,18,154,561.8021788888889,3080002.4191382
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,19,77,510.32522222222224,2418913.190102185
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,20,45,659.6396011111111,1522728.0034553055
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,21,48,579.9422222222222,2321701.3112866124
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,22,50,508.4144444444444,4119715.791276296
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,23,47,520.6322222222223,2180044.1048076726
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,0,3,31.349722222222223,22088.487515597873
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,9,3,11.255833333333332,14882.644431830513
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,10,7,405.9241666666667,221912.9535567898
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,11,2,2.236666666666667,2489.441377995809
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,12,1,0.09361111111111112,68.75
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,14,9,76.78055555555555,43529.254556982254
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,15,3,54.12041388888889,28643.083333333332
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,16,1,0.5116666666666667,450.0
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,19,2,40.695,25097.86111111111
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,20,2,2.7977777777777777,1572.638888888889
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,22,1,8.4725,7545.5
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,9,7,0.37833333333333335,661.1666482204861
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,10,17,2.3375,6472.663038465712
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,11,20,2.6847222222222222,12136.815126953124
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,12,27,5.181111111111111,44733.26273708767
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,13,17,1.851388888888889,9630.234041069878
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,14,22,6.242945277777778,39783.77421576606
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,15,22,2.3469444444444445,9077.903934190539
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,16,5,0.4255555555555556,529.3876917860243
