constraint_description,constraint_type,main_location,secondary_location,matched_site,latitude,longitude,latitude_2,longitude_2,geolocation_source,geolocation_method,constraint_id
Ilmer Grid - Amersham Main Circuit 1 (AI route),substation,ILMER GRID,,LEIGH GRID,51.20213495173,-0.217255557020997,,,grid_sites,substation_direct,0C8048_911-CCT_CONSTR-CCT
Bury Grid 132/33kV - GT1,transformer,BURY GRID GRID,,PEMBURY GRID,51.1676804304408,0.343219570277919,,,grid_sites,substation_direct,0D1012_910-GT1_CONSTR-CCT
Bury Grid 132/33kV -  GT2,transformer,BURY GRID GRID,,PEMBURY GRID,51.1676804304408,0.343219570277919,,,grid_sites,substation_direct,0D1012_930-GT2_CONSTR-CCT
Bury Grid 132/33kV - SUM,aggregate,BURY GRID GRID,,PEMBURY GRID,51.1676804304408,0.343219570277919,,,grid_sites,substation_direct,0D1012_SS_CONSTR-SUM
Diss Grid 132/33kV - GT1,transformer,DISS GRID GRID,,DISS GRID 132KV,52.3723032543849,1.10611633424584,,,grid_sites,substation_direct,0D1014_914-GT1_CONSTR-CCT
Diss Grid 132/33kV - SUM,aggregate,DISS GRID GRID,,DISS GRID 132KV,52.3723032543849,1.10611633424584,,,grid_sites,substation_direct,0D1014_SS_CONSTR-SUM
Thetford Grid 132/33kV - SUM,aggregate,THETFORD GRID GRID,,THETFORD GRID 33/11KV,52.3872190958013,0.736478402750066,,,grid_sites,substation_direct,0D1056_SS_CONSTR-SUM
Clacton Grid 132/33kV - Frinton 1,substation,CLACTON GRID GRID,,CLACTON GRID 132KV,51.8261259348637,1.17921285923585,,,grid_sites,substation_direct,0D3027_913-CCT_CONSTR-CCT
HISTON GRID 132/33kV - GT1,transformer,HISTON GRID GRID,,WHISTON RD,51.535218783752,-0.0682578840091404,,,grid_sites,substation_direct,0D4009_H04-GT1_CONSTR-CCT
HISTON GRID 132/33kV - GT2,transformer,HISTON GRID GRID,,WHISTON RD,51.535218783752,-0.0682578840091404,,,grid_sites,substation_direct,0D4009_H20-GT2_CONSTR-CCT
BURWELL LOCAL GRID 132/33kV - GT4,transformer,BURWELL LOCAL GRID GRID,,BURWELL LOCAL GRID 132/33KV,52.2774898958568,0.317253092352746,,,grid_sites,substation_direct,0D4033_950-GT4_CONSTR-CCT
LITTLE BARFORD 132/33kV - GT2,transformer,LITTLE BARFORD,,LITTLE BARFORD 132KV,52.2073460897954,-0.272003403194028,,,grid_sites,substation_direct,0D4055_915-GT2_CONSTR-CCT
LITTLE BARFORD 132/33kV - GT3,transformer,LITTLE BARFORD,,LITTLE BARFORD 132KV,52.2073460897954,-0.272003403194028,,,grid_sites,substation_direct,0D4055_933-GT3_CONSTR-CCT
