energy_source1,sites,total_kwh,total_hours,avg_curtailed_kwh_per_MW
SOLAR,9,45014544.37544575,9917.22207861111,798023.5923878574
WIND ONSHORE,4,15868591.34611406,5045.152796388889,650096.1322414686
FOSSIL - GAS,5,15547279.022879299,4907.704002222222,279563.64292901143
